Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Afghanistan,AFG,15.92453168,54.24312637,17.81385476,14.83980596,11.48270623,13.97358569,16.33429251,19.31426861,18.42347717,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Albania,ALB,25.51808763,41.44541557,37.2166378,37.11532977,35.9625316,40.0482996,41.28897372,38.68950076,38.61521047,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Algeria,DZA,0.177228303,0.42737224,0.311808049,0.258071762,0.177339472,0.188181413,0.140451785,0.068640475,0.058958684,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,American Samoa,ASM,0,0,0,0,0,0.702426574,0.70314054,0.700882415,0.885478202,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Andorra,AND,14.27355021,14.89066404,17.51594817,19.09072997,18.97154584,19.19552869,19.56369803,19.88632294,19.74780863,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Angola,AGO,72.25525192,74.61817144,55.74897651,54.19383662,52.71567876,52.24573631,50.68611601,50.79746068,49.56821033,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Argentina,ARG,8.922907467,11.07795513,8.574061175,8.961445952,10.11684672,9.866701702,10.2103229,10.90195793,10.04007761,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Armenia,ARM,2.118944341,7.164263504,7.800556095,9.359817006,8.009615307,6.565711312,6.771217636,7.72473444,15.79200384,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Aruba,ABW,0.268747069,0.175266081,0.299773816,5.464715906,5.661788374,6.855849569,6.889752984,6.927501542,6.726747566,..,..,..
